sample_id,tissue,metadata,gene_expression,metilation
GTEX-1117F-0126,Skin - Sun Exposed (Lower leg),1,0,0
GTEX-1117F-0226,Adipose - Subcutaneous,1,1,0
GTEX-1117F-0326,Nerve - Tibial,1,0,0
GTEX-1117F-0426,Muscle - Skeletal,1,1,0
GTEX-1117F-0526,Artery - Tibial,1,1,0
GTEX-1117F-0626,Artery - Coronary,1,1,0
GTEX-1117F-0726,Heart - Atrial Appendage,1,1,0
GTEX-1117F-0826,Heart - Left Ventricle,1,0,0
GTEX-1117F-0926,Artery - Aorta,1,0,0
GTEX-1117F-1026,Lung,1,0,1
GTEX-1117F-1126,Liver,1,0,0
GTEX-1117F-1226,Spleen,1,0,0
GTEX-1117F-1326,Adipose - Visceral (Omentum),1,1,0
GTEX-1117F-1426,Thyroid,1,0,0
GTEX-1117F-1526,Esophagus - Mucosa,1,0,0
GTEX-1117F-1626,Esophagus - Muscularis,1,0,0
GTEX-1117F-1726,Pancreas,1,0,0
GTEX-1117F-1826,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-1117F-1926,Kidney - Cortex,1,0,0
GTEX-1117F-2026,Stomach,1,0,0
GTEX-1117F-2126,Kidney - Cortex,1,0,0
GTEX-1117F-2226,Ovary,1,0,0
GTEX-1117F-2326,Colon - Sigmoid,1,0,0
GTEX-1117F-2426,Uterus,1,1,0
GTEX-1117F-2526,Vagina,1,1,0
GTEX-1117F-2626,Small Intestine - Terminal Ileum,1,0,0
GTEX-1117F-2726,Colon - Transverse,1,0,1
GTEX-1117F-2826,Breast - Mammary Tissue,1,1,0
GTEX-1117F-2926,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-1117F-3026,Minor Salivary Gland,1,1,0
GTEX-1117F-3126,Pituitary,1,0,0
GTEX-1117F-3226,Brain - Cortex,1,1,0
GTEX-1117F-3326,Brain - Cerebellum,1,0,0
GTEX-111CU-0126,Adrenal Gland,1,1,0
GTEX-111CU-0226,Thyroid,1,1,0
GTEX-111CU-0326,Lung,1,1,0
GTEX-111CU-0426,Spleen,1,1,0
GTEX-111CU-0526,Pancreas,1,1,0
GTEX-111CU-0626,Esophagus - Muscularis,1,1,0
GTEX-111CU-0726,Esophagus - Mucosa,1,1,0
GTEX-111CU-0826,Esophagus - Gastroesophageal Junction,1,1,0
GTEX-111CU-0926,Stomach,1,1,0
GTEX-111CU-1026,Adipose - Visceral (Omentum),1,1,0
GTEX-111CU-1126,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-111CU-1226,Colon - Sigmoid,1,1,0
GTEX-111CU-1326,Small Intestine - Terminal Ileum,1,1,0
GTEX-111CU-1426,Colon - Transverse,1,1,0
GTEX-111CU-1526,Prostate,1,1,0
GTEX-111CU-1626,Breast - Mammary Tissue,1,0,0
GTEX-111CU-1726,Testis,1,1,0
GTEX-111CU-1826,Adipose - Subcutaneous,1,1,0
GTEX-111CU-1926,Skin - Sun Exposed (Lower leg),1,0,0
GTEX-111CU-2026,Muscle - Skeletal,1,1,0
GTEX-111CU-2126,Artery - Tibial,1,0,0
GTEX-111CU-2226,Nerve - Tibial,1,1,0
GTEX-111FC-0126,Skin - Sun Exposed (Lower leg),1,1,0
GTEX-111FC-0226,Adipose - Subcutaneous,1,1,0
GTEX-111FC-0326,Muscle - Skeletal,1,1,0
GTEX-111FC-0426,Artery - Tibial,1,1,0
GTEX-111FC-0526,Nerve - Tibial,1,1,0
GTEX-111FC-0626,Heart - Atrial Appendage,1,1,0
GTEX-111FC-0726,Artery - Aorta,1,0,0
GTEX-111FC-0826,Heart - Left Ventricle,1,1,0
GTEX-111FC-0926,Artery - Coronary,1,0,0
GTEX-111FC-1026,Thyroid,1,1,0
GTEX-111FC-1126,Lung,1,1,0
GTEX-111FC-1226,Liver,1,0,0
GTEX-111FC-1326,Spleen,1,1,0
GTEX-111FC-1426,Adipose - Subcutaneous,1,0,0
GTEX-111FC-1526,Pancreas,1,0,0
GTEX-111FC-1626,Esophagus - Muscularis,1,0,0
GTEX-111FC-1726,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-111FC-1826,Esophagus - Mucosa,1,0,0
GTEX-111FC-1926,Testis,1,1,1
GTEX-111FC-2026,Prostate,1,1,1
GTEX-111FC-2126,Stomach,1,0,0
GTEX-111FC-2226,Colon - Sigmoid,1,0,0
GTEX-111FC-2326,Colon - Transverse,1,0,1
GTEX-111FC-2426,Breast - Mammary Tissue,1,0,0
GTEX-111FC-2526,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-111FC-2626,Small Intestine - Terminal Ileum,1,0,0
GTEX-111FC-2726,Adrenal Gland,1,0,0
GTEX-111FC-2826,Kidney - Cortex,1,0,0
GTEX-111FC-2926,Minor Salivary Gland,1,1,0
GTEX-111FC-3026,Pituitary,1,0,0
GTEX-111FC-3126,Brain - Cortex,1,1,0
GTEX-111FC-3326,Brain - Cerebellum,1,1,0
GTEX-111VG-0126,Artery - Aorta,1,0,0
GTEX-111VG-0226,Artery - Coronary,1,0,0
GTEX-111VG-0326,Heart - Atrial Appendage,1,1,0
GTEX-111VG-0426,Heart - Left Ventricle,1,0,0
GTEX-111VG-0526,Thyroid,1,1,0
GTEX-111VG-0626,Kidney - Cortex,1,0,0
GTEX-111VG-0726,Lung,1,1,0
GTEX-111VG-0826,Liver,1,0,0
GTEX-111VG-0926,Pancreas,1,0,0
GTEX-111VG-1026,Esophagus - Muscularis,1,0,0
GTEX-111VG-1126,Esophagus - Mucosa,1,0,0
GTEX-111VG-1226,Breast - Mammary Tissue,1,0,0
GTEX-111VG-1326,Esophagus - Gastroesophageal Junction,1,0,0
GTEX-111VG-1426,Stomach,1,0,0
GTEX-111VG-1526,Adipose - Visceral (Omentum),1,0,0
GTEX-111VG-1626,Skin - Not Sun Exposed (Suprapubic),1,1,0
GTEX-111VG-1726,Adrenal Gland,1,0,0
GTEX-111VG-1826,Prostate,1,0,0
